tid,loc_name,address_1,latitude,longitude,city,state,RunID,RunDate,InsertUpdateTime,postal_code,country,neighborhood,address_2
7000,"Mangalmurti Complex, Hirabaug Chowk - Shukrawar Peth","Shop No. 11, Mangalmurti Complex, Lokmanya Bal Gangadhar Tilak Road, Dadawadi, Shukrawar Peth",18.504416,73.8546,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411002,India,Shukrawar Peth,Hirabaug Chowk
7001,"Sri Srinivasa Nilayam, HB Colony Main Road - Moula Ali","Sri Srinivasa Nilayam Building, APHB Colony, HB Colony Main Road, Moula-Ali",17.461447,78.563225,Hyderabad,Telangana,46300,03-05-2022 09:01,03-05-2022 09:01,500040,India,Moula-Ali,Near Andra Bank
7002,"Arun Blu, Ravet - Pune","Shop No. C-1, C-2, C-3, C-4, C-5, C-6, C-7, C-8, C-Wing, Arun Blu, Survey No 97/1A/1A/1, Mhaske Wasti, Near Water Tank, Ravet",18.662067,73.745346,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,412101,India,Ravet,PCMC Water Tanks
7003,"Narendra Apartment CHSL, 6th Road - Santacruz (East)","Shop No.3, The Narendra Apartment CHSL, 6th Road, TPS III, Santacruz (East)",19.07989,72.84244,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400055,India,Santacruz (East),R K Hospital
7004,"Meridian Building, Tulaja Bhawani Nagar - Kharadi","Shop No. 3, Meridan Building, Tulaja Bhawani Nagar, Dholepatil Farms Rd, Kharadi",18.560272,73.95042,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411014,India,Kharadi,Vivero International Preschool & Child Care
7005,"Sahkari Groups, 18th Main Road - Padmanabhnagar","Shankari Groups, 18th Main Road, Chikkakallasandra Village, Anjanaswamy Layout, Padmanabhanagar",12.916463,77.55453,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560070,India,Padmanabhanagar,Maharaja Agarsen hospital
7006,"Chunchghatta Main Road, Phase 7 - Chunchghatta","Site No. 36, Chunchghatta Main Road, Phase 7, Konanakunte, Chunchghatta",12.887739,77.570786,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560078,India,Chunchghatta,Muthoot FinCorp Ltd
7007,"Chawl No. 1, 90 Feet Road - Dharavi","Shop No. 28, Chawl No. 1, 90 Feet Road, Kumbharwada, Dharavi",19.039688,72.854546,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400017,India,Dharavi,Sai Hospital
7008,"Shivashankar Society, Shivashankar Society Road - Dattawadi","Plot No.7, Shivashankar Society, Shivshankar Society Road, Dattawadi",18.499496,73.84182,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411030,India,Dattawadi,Sainath Saukat Ranapratap Mitra Mandal
7009,"Gangotri Apartment, Porwal Metallica - Rasta Peth","Shop No.3, Gangotri Complex CHSL, Porwal Metallica, Rasta Peth",18.518719,73.86713,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411011,India,Rasta Peth,Shiral Seth Chowk
7010,"Nirmal Plaza, Badi Chowdi - Sultan Bazar","Shop No.3, Nirmal Plaza, Chandan Bagh, Badi Chowdi, Sultan Bazaar",17.389977,78.48857,Hyderabad,Telangana,46300,03-05-2022 09:01,03-05-2022 09:01,500095,India,Sultan Bazaar,Kachiguda X Road Bus Stop
7011,"Garudadri Apartments, Balamuri Main Road - Hulimavu","Garudadri Apartments, Balamuri Main Road, Hulimavu Layout",12.881158,77.60096,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560076,India,Hulimavu Layout,Balamuri Ganesh Temple
7012,"Kesari Tilak Complex, Narayan Peth - Pune","Shop No. 1, 2, & 3, Kesari Tilak Complex, Hissa No. 568A, Narayan Peth",18.516113,73.84879,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411030,India,Narayan Peth,Kesariwada
7013,"Vibrant Building, Anupuram Colony - A. S. Rao Nagar","Vibrant Building, Atomic Energy Employees CHSL, Anupuram Colony, Kapra Circle, Keesara Mandal, Ranga Reddy District",17.476845,78.56269,Secunderabad,Telangana,46300,03-05-2022 09:01,03-05-2022 09:01,500062,India,"Keesara Mandal, Ranga Reddy District",Thatha Hospital
7014,"Dolphin Garden CHSL, Sector 9 - Mira Road (East)","Shop No. 14, E-Wing, Dolphin Garden CHSL, Poonam Sagar Complex, Opp. Shanti Nagar, Sector 9, Mira Road (East)",19.272713,72.86364,Mira Bhayandar,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,401107,India,Mira Road (East),Desi Chai Theka
7015,"AFOCHS, Hi Tension Rd - Sainikpuri","AFO CHS, Hi Tension Road, Eshwapuri Colony, Sainikpuri, Medchal-Malkajgiri District",17.489214,78.5506,Secunderabad,Telangana,46300,03-05-2022 09:01,03-05-2022 09:01,500094,India,Medchal-Malkajgiri District,Hotel Surabhi
7016,"Chennamma Govindaiah Arcade, Nagarabhavi Main Road - Prashanth Nagar","Chennamma Govindaiah Arcade, Nagarabhavi Main Road, Kempegowda Layout, Prashanth Nagar",12.976179,77.53196,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560079,India,Prashanth Nagar,Bharathy Hospital
7017,"VB Arcade, 80 Feet Road - Mallathalli","VB Arcade, ITI Employees Layout, 80 Feet Road, Yeshwanthapura Hobli, Jnanabharathi, Mallathalli Village",12.966798,77.5012,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560056,India,Mallathalli Village,Akshaya Party Hall
7018,"B Block, AECS Layout - Singasandra","B Block, AECS Layout, Wellington Paradise, Begur, Singasandra Village",12.878972,77.637985,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560068,India,Singasandra Village,State Bank Of India
7019,"Krupasindhu Apartment, Patankar Road - Nalasopara (West)","Shop No. 1, Ground floor, Krupasindhu Apartment, Building B, Behind Patankar Tower, Patankar Road, Nalasopara (West)",19.418715,72.81196,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,401203,India,Nalasopara (West),Star Hospital
7020,"Sindur Space CHSL, Pragati Nagar - Naranpura","Shop No.1, The Sindur Space CHSL, Alok Road, Behind Vardan Tower, Pragati Nagar, Naranpura",23.067888,72.55096,Ahmedabad,Gujarat,46300,03-05-2022 09:01,03-05-2022 09:01,380013,India,Naranpura,Opp Ocean Colina
7021,"Sumel 8 CSL, Lal Bahadur Shahstri Road - Rakhiyal","Shop no. G-01, G Block, The Sumel-8 CHSL, Lal Bahadur Shastri Road, Near Ajit Mill Cross Road, Rakhiyal",23.02209,72.6321,Ahmedabad,Gujarat,46300,03-05-2022 09:01,03-05-2022 09:01,380023,India,Rakhiyal,Ajit Mill Bus Stop
7022,"Moodalpalya Main Road, 2nd Block - Byraveshwara Nagar","Moodalpalya Main Road, 2nd Block, Byraveshwara Nagar, Govindraja Nagar Ward",12.965435,77.52336,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560072,India,Govindraja Nagar Ward,Dhanush Hospital
7023,"Jayaraj Home, Main Road - Narhe","Shop No.4, Jayaraj Home, Narhe Road, Narhe Village , Taluka Haveli",18.4565,73.81954,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411041,India,Taluka Haveli,Panchamrut Hotel & Mess
7024,"Muneshwara Block, Nagapura - Mahalakshmi Layout","2nd Cross Road, Muneshwara Block, Nagapura, Mahalakshmi Layout",13.008351,77.54302,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560086,India,Mahalakshmi Layout,Ayyappa Swamy Temple
7025,"D R Pride, Devanna Compound - K Narayanapura","D R Pride, Devanna Compound, Opp. BDS Nagar, K Narayanapura, Kothanur Post",13.065813,77.64276,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560077,India,Kothanur Post,Bangalore School of Design
7026,"SB Complex, Babusapalya Main Road - Babusapalya","Site No. 26, SB Complex, Chelkere Dhakale, Babusapalya, K.R. Puram Hobli",13.022842,77.65078,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560043,India,K.R. Puram Hobli,VV Convention Hall
7027,"Times Square, 2nd Main Road - Kasturi Nagar","Times Square Building, 2nd Main Road, East of NGEF Layout, Kasturi Nagar",13.005451,77.6596,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560043,India,Kasturi Nagar,New Janapriya Super Speciality Hospital
7028,"IR Arcade, Rukmininagar - Nagasandra","IR Arcade, 1st Block, Rukmininagar, Nagasandra main Road, Nagasandra, Dasarahalli Vilage",13.041103,77.504745,Bengaluru,Karnataka,46300,03-05-2022 09:01,03-05-2022 09:01,560073,India,Dasarahalli Vilage,Rukmini Nagara Bus Stop
7029,"Apollo Arcade CHSL, R.C. Technical College Road - Ghatlodia","Shop No. G2, The Apollo Arcaade CHSL, RC technical College Road, Vishwas City 1, Ghatlodia",23.083015,72.53297,Ahmedabad,Gujarat,46300,03-05-2022 09:01,03-05-2022 09:01,380061,India,Ghatlodia,Punjab Honda Showroom
7030,"VSP Crystal, Narsaiah Colony -  Dammaiguda X Road","Shop No.1, VSP Crystal, Opp Grama Panchayat Office, Narsaiah Colony, Dammaiguda X Road",17.50211,78.58859,Secunderabad,Telangana,46300,03-05-2022 09:01,03-05-2022 09:01,500083,India,Dammaiguda X Road,State Bank of India
7031,"Mauli Niwas, Ganesh Nagar - Wadgaon Sheri","Shop No. 2, Mauli Niwas, Iccha Trupti CHSL, Ganesh Nagar, Wadgaon Sheri",18.554876,73.92553,Pune,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,411014,India,Wadgaon Sheri,Rahul Video Bus Stop
7032,"Padmaraj CHSL, 100 Feet Road - Vasai (West)","Shop No. 5, Padmaraj CHSL, 100 Feet Road, Opp. St. Francis School, Diwanman, Vasai (West)",19.383526,72.82113,Thane,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,401202,India,Vasai (West),Mukti Dham Temple
